Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-24 03:00:00+00:00,87287.046875,87337.1171875,86873.8515625,87085.3671875,0
2025-12-24 04:00:00+00:00,87079.703125,87401.4453125,87077.109375,87286.5234375,0
2025-12-24 05:00:00+00:00,86905.234375,87199.2578125,86755.796875,87079.421875,0
2025-12-24 06:00:00+00:00,86941.0078125,86986.0546875,86794.1796875,86901.734375,0
2025-12-24 07:00:00+00:00,86921.6328125,87104.390625,86921.6328125,86952.203125,0
2025-12-24 08:00:00+00:00,86749.8125,86998.0859375,86749.8125,86877.7890625,0
2025-12-24 09:00:00+00:00,86757.4375,86823.796875,86691.9375,86733.1953125,0
2025-12-24 10:00:00+00:00,87036.765625,87107.46875,86748.75,86753.1640625,178896896
2025-12-24 11:00:00+00:00,87156.0859375,87280.8046875,87026.7734375,87026.7734375,0
2025-12-24 12:00:00+00:00,87391.71875,87420.4609375,87098.6171875,87158.4140625,0
2025-12-24 13:00:00+00:00,87244.0390625,87389.453125,87025.7421875,87383.5625,0
2025-12-24 14:00:00+00:00,86882.3984375,87377.28125,86411.796875,87248.9296875,0
2025-12-24 15:00:00+00:00,86914.6015625,87104.203125,86587.953125,87071.8515625,0
2025-12-24 16:00:00+00:00,87168.1484375,87572.890625,86904.109375,86941.2890625,0
2025-12-24 17:00:00+00:00,87216.53125,87475.90625,87196.7578125,87247.875,0
2025-12-24 18:00:00+00:00,87412.6171875,87435.09375,87203.0390625,87256.9921875,0
2025-12-24 19:00:00+00:00,87495.484375,87507.859375,87307.3046875,87406.7890625,0
2025-12-24 20:00:00+00:00,87494.3671875,87591.8984375,87489.7734375,87507.8203125,0
2025-12-24 21:00:00+00:00,87607.796875,87711.4921875,87532.1640625,87532.1640625,0
2025-12-24 22:00:00+00:00,87941.3515625,87947.0546875,87629.796875,87629.796875,0
2025-12-24 23:00:00+00:00,87615.5703125,87936.734375,87551.7109375,87936.734375,0
2025-12-25 00:00:00+00:00,87490.3671875,87664.0625,87488.328125,87608.0546875,0
2025-12-25 01:00:00+00:00,87631.765625,87685.4453125,87498.1875,87498.1875,0
2025-12-25 02:00:00+00:00,87843.265625,87870.1171875,87529.2109375,87636.96875,0
2025-12-25 03:00:00+00:00,87792.0546875,87848.265625,87728.640625,87827.7734375,0
2025-12-25 04:00:00+00:00,87744.0078125,87789.609375,87699.0234375,87788.71875,0
2025-12-25 05:00:00+00:00,87702.3671875,87742.5234375,87613.1875,87742.5234375,0
2025-12-25 06:00:00+00:00,87773.6796875,87773.6796875,87645.6796875,87703.8515625,0
2025-12-25 07:00:00+00:00,87786.6875,87795.21875,87707.5078125,87774.5703125,0
2025-12-25 08:00:00+00:00,87508.9765625,87808.9375,87339.2734375,87782.921875,242833408
2025-12-25 09:00:00+00:00,87465.7109375,87525.859375,87392.3671875,87525.859375,17125376
2025-12-25 10:00:00+00:00,87361.8828125,87459.4375,87238.015625,87459.4375,0
2025-12-25 11:00:00+00:00,87458.4921875,87517.3046875,87370.640625,87370.640625,0
2025-12-25 12:00:00+00:00,87521.0859375,87533.203125,87441.921875,87476.3203125,0
2025-12-25 13:00:00+00:00,87601.421875,87607.109375,87373.84375,87516.6328125,0
